TITLE     = "Particles in 3D"
VARIABLES = "X" "Y" "Z" "UP" "VP" "WP" "MASS" "WT" "WTD" "DPM" "XN" "YN" "ZN" "SRCNUM
ZONE T="     0.0 seconds"
I=         4, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
    73.596    47.636     1.109    -0.512    -0.725    -0.090  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    93.822    52.454     1.272     0.060     0.765    -0.062  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    70.275    50.135     2.364     0.141     0.354     0.367  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   107.496    46.973     2.821    -0.552    -0.068    -0.270  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   115.413    48.852     2.114    -0.140     0.328    -0.088  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    92.011    48.733     3.302    -0.827     0.381     0.161  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   102.754    52.509     1.441     0.127    -0.081    -0.379  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    55.661    55.235     0.424     0.117     0.561     0.295  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    98.876    49.511     0.751     0.404    -0.953    -0.063  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   131.378    55.831     0.569    -0.102    -0.398    -0.048  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    90.988    54.517     0.942    -0.230    -0.451     0.144  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    91.884    51.611     0.685     0.692    -0.298    -0.240  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    99.828    49.746     2.437    -0.204    -0.632     0.127  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   136.342    58.769     0.223     0.926     0.353    -0.153  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   105.575    45.756     3.303     0.239     0.113     0.505  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   107.195    52.207     3.014     0.697    -0.011     0.295  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   108.924    60.119     0.483     0.099    -0.078    -0.068  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    45.743    56.627     0.124     0.882     0.004    -0.030  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    97.592    53.763     0.979    -0.130    -0.006    -0.025  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    40.537    53.896     2.799    -0.699    -0.567     0.737  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    52.898    48.854     1.821    -0.273    -0.307     0.129  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    58.003    48.508     1.520     0.902    -0.831    -0.235  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    83.721    53.924     0.699    -0.282    -0.317    -0.488  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   111.215    53.736     0.439    -0.047    -0.108    -0.154  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
