TITLE     = "Particles in 3D"
VARIABLES = "X" "Y" "Z" "UP" "VP" "WP" "MASS" "WT" "WTD" "DPM" "XN" "YN" "ZN" "SRCNUM
ZONE T="     0.0 seconds"
I=         4, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
   117.283    96.770     0.375     0.323    -0.300     0.049  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    70.533    94.797     1.495     0.295     0.875     0.064  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    40.135   103.192     0.705    -0.640     0.657     0.417  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    72.341    90.646     5.203    -0.172    -0.647     0.372  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    53.612    97.235     0.876    -0.160    -0.659     0.562  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    74.112    95.132     1.594    -0.298    -0.522    -0.084  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   132.294   102.670     0.524     0.427     0.055    -0.446  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    43.162   105.856     0.308     0.639     0.024     0.092  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   105.929    94.879     0.866     0.072    -0.406     0.183  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    92.117    94.413     1.321     0.248    -0.459    -0.226  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    69.688    96.147     1.100    -0.420    -0.182     0.049  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    92.842    90.594     1.993    -0.038    -0.223     0.032  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   122.263   104.649     0.127    -0.014    -0.256    -0.119  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   102.172    95.186     0.692     0.766    -0.210    -0.250  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    45.893    87.241     3.363     0.473    -0.758     0.507  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    42.578   100.003     5.102     0.098    -0.494     1.082  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   114.602    90.783     1.718    -0.474    -0.502    -0.196  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   110.575    94.176     1.814    -0.196    -0.493     0.053  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    82.384    95.560     1.626    -0.121    -1.165     0.106  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    42.047   100.747     0.831    -0.429     0.128     0.109  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    67.209   100.703     0.686    -0.185    -0.393     0.332  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    41.503   104.917     2.642     0.149     1.529    -0.165  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    58.383    90.834     3.052     0.044     0.143     0.784  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   106.721    96.555     2.862     0.115     1.218     0.094  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   123.769   100.822     0.897    -0.493     0.563    -0.105  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    83.131   102.420     1.017    -0.144    -0.030    -0.121  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   121.562    93.380     4.227    -0.554    -0.318     0.106  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    56.145    97.269     1.494    -0.034    -1.279     0.108  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    39.289    99.009     4.330    -0.599    -0.600     0.625  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    67.019    98.335     1.167     0.503    -0.138     0.529  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    58.018    97.844     1.892    -0.164     0.870    -0.049  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   110.197    94.715     0.471    -0.813    -0.182     0.375  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    44.347    90.921     3.422     0.513    -2.367    -0.819  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    67.186    96.879     0.351    -0.182    -0.209     0.221  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    64.261    94.029     2.103     0.442    -0.614     0.057  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   128.472   102.065     0.713     0.046     0.112     0.434  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   107.530    93.613     1.487    -0.279    -0.397     0.152  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    54.512    99.566     0.707    -0.693    -0.244     0.311  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   123.630    95.543     2.430    -0.450    -0.530     0.415  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    43.714   106.646     3.242     0.581     0.410     1.263  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    97.037   100.184     2.804     0.053     1.300    -0.322  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   118.758    92.726     0.813    -0.696    -0.533    -0.440  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    59.177    90.483     2.061    -0.171     0.102    -0.656  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    44.103    99.471     0.874    -0.512    -1.208     0.103  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   116.605    99.158     1.023    -0.423    -0.792     0.418  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   101.090    92.886     0.742    -0.263    -0.235     0.082  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    52.388    94.577     2.774    -0.193     0.129     0.013  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    70.697    95.532     1.026     0.342    -0.056     0.393  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    94.887   102.236     1.614     0.512     1.438    -0.919  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    49.549    97.722     1.198    -1.055     0.522     0.108  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    93.863    99.199     0.980     0.206     0.463     0.104  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   131.411   100.898     4.081     0.054     0.224     0.484  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    81.511   103.956     2.964    -0.548     1.247     0.511  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    67.491    96.542     1.057    -0.155    -0.204     0.165  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   123.641   102.400     0.135     0.147     0.546     0.010  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    67.260    97.141     0.563    -0.993     0.344    -0.277  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    50.558    92.712     1.571     0.244    -0.462     0.476  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    49.315    99.218     0.929    -0.179     0.051    -0.018  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    66.556    95.336     1.186    -0.223    -0.442     0.144  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    70.094    93.669     1.630    -0.886     0.572    -0.078  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    66.964    95.459     1.472    -0.014    -0.521    -0.055  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    89.842    94.924     0.738     0.094    -0.420     0.082  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   112.004    96.522     2.143     0.352    -0.224     0.664  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   118.066    96.256     0.710    -0.088    -0.395     0.169  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    68.107    97.102     1.527    -0.403    -0.365    -0.305  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    43.665   100.985     0.418     0.307    -0.148     0.719  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    88.401    99.832     1.773    -0.111     0.023    -0.047  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   129.115    95.983     6.212     0.212    -0.420    -0.318  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    38.105   100.065     0.643    -0.002    -0.106     0.063  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   132.154    99.991     0.739     0.602    -0.087    -0.127  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    53.662    94.500     1.713    -0.440     0.457     0.054  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   111.724    95.242     1.996    -0.793    -1.109     0.034  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    82.374    97.493     1.327     0.069    -0.807     0.217  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    48.150    97.245     2.408    -0.904     0.433     0.048  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   132.012   105.758     3.309    -0.257     0.447     0.019  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    85.507   101.160     2.730    -0.042    -0.109     0.571  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   127.387    99.259     2.193    -0.659    -0.601     0.340  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    59.137    97.713     0.480     0.940     0.390     0.217  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    67.246    91.693     2.151     0.319    -0.575     0.162  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    89.570    92.488     2.723     0.662    -0.937     0.147  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    66.915    93.706     1.212     0.449    -0.298    -0.032  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   115.229    94.915     1.161    -0.092     0.022    -0.605  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   121.589    96.774     0.408     0.529     0.236    -0.030  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    66.328    95.608     1.859     0.309     0.524     0.135  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    72.116    99.892     1.015    -0.166     0.479    -0.519  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   113.674    98.262     1.199    -0.403    -0.032     0.254  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    70.320    95.399     1.133     1.278     0.728    -0.175  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    72.533    85.922     5.422    -0.463    -1.660     0.484  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    57.762   101.690     0.669    -0.525     0.069     0.103  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    76.215    96.138     1.113     0.839     0.057    -0.098  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   113.233    96.222     0.514    -0.304    -0.199    -0.162  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    97.821    98.710     1.628    -0.265    -0.107     0.142  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    87.553    99.864     0.555    -1.238     0.424     0.140  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    83.586    99.346     1.112    -0.494    -0.180     0.288  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    73.174    94.639     1.657     0.394    -0.796     0.045  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   117.686   100.580     1.612     0.715     0.634    -0.007  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    90.916    99.948     0.127     0.020     0.075    -0.121  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    94.134    98.649     0.373    -0.339    -0.076     0.163  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   106.977    98.753     2.235    -0.676    -0.005     0.093  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    81.936   105.112     0.730    -0.187    -0.118    -0.214  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    64.517    97.556     1.089    -0.387     0.510     0.374  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    88.311   103.262     0.479    -0.373     0.484     0.678  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    40.958   100.778     2.622    -0.046    -0.342     0.529  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    74.118    96.964     3.202     0.352     0.029     0.536  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    42.180   104.932     2.206    -0.426     0.011     0.593  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    94.681    95.822     0.928     0.032     0.897    -0.273  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    78.852    98.033     1.446     0.255     0.544     0.224  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    66.720   101.931     0.237     0.767     0.331     0.235  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   101.569    91.969     1.768     0.582    -1.458    -0.032  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   114.545    93.253     2.009    -0.605    -0.263     0.207  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   108.745    97.423     1.061     0.530     0.075    -0.005  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   113.049    94.767     2.513    -0.622     0.315     0.157  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    94.358    90.981     2.735     0.095    -0.487     0.247  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    60.285   101.807     0.204    -0.924    -0.016     0.562  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    33.957    99.733     0.220    -0.363    -0.518     0.094  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    88.573    98.549     2.128     0.865     0.100     0.619  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    83.353   100.793     0.251    -0.922     0.424    -0.461  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   101.553    96.686     0.468     0.018     0.426    -0.071  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    97.412    94.352     1.724     0.228    -0.025     0.060  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   116.059    91.932     1.861     0.037    -1.059     0.166  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    75.879    92.981     2.556    -0.206    -1.106     0.208  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    67.813   100.060     0.814     0.426    -0.868     0.456  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    39.855   101.394     1.419     0.352    -0.266    -0.097  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   109.339    97.354     1.676    -0.088    -0.039     0.311  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    46.132    96.719     0.678     0.256     1.260    -0.307  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   130.232   102.168     0.215     0.059     0.219     0.514  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    84.706   105.733     2.398     0.061     0.469    -0.140  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   133.585   101.794     3.137     0.326     1.419     0.443  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   117.115    99.150     1.262    -0.418    -0.305     0.190  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   124.336   104.667     0.538     0.858     0.506    -0.292  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   106.353    97.650     0.360     0.028    -0.525     0.224  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    42.725   102.121     0.185    -0.403     0.725     0.377  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    85.201   103.565     2.035    -0.212     0.172     0.263  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   132.037   105.773     0.513     0.120     0.991     0.604  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    77.199   101.581     0.245     0.471    -0.384    -0.591  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    70.856    97.238     1.303     0.457     0.472    -0.464  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    85.965   101.171     3.296    -0.711    -1.005     1.284  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   133.477   104.256     0.714     0.197     0.874     0.382  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    86.759   105.432     2.621     0.082     0.100     0.625  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    96.927    97.287     1.768    -0.820     0.184     0.097  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    83.527    98.863     2.029     0.010    -0.482    -0.044  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    41.928   105.477     2.005     0.330     0.263    -0.357  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    61.737   101.541     0.365    -0.728     0.610    -0.087  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    85.677   103.476     0.875    -0.131     1.283     0.296  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    38.456   103.276     0.899     0.148     0.580    -0.390  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   113.336   100.989     0.300    -0.416    -0.043    -0.285  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    65.732    96.910     1.540     0.260     0.367    -0.305  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    46.225    99.783     2.381     0.810     0.614     0.135  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    65.894    96.775     1.285     0.228    -1.044     0.638  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   108.344    99.197     2.724    -0.272     0.146     0.568  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    65.901   100.752     1.938     0.454     0.806     0.052  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   108.416    98.767     1.581    -0.044     0.601     0.040  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    48.015   100.533     0.517    -0.311     1.206    -0.752  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    40.458   102.459     0.114     0.511     0.152    -0.560  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    85.632   104.396     0.665     0.287     0.227    -0.497  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    50.636    94.952     2.384     0.375    -0.965     0.668  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    49.857    98.403     0.915     0.691    -0.131     0.041  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    66.882    99.513     0.854    -0.875     0.517     0.289  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    38.537   104.550     0.944     0.845     0.606    -0.309  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    66.485   100.066     1.418     0.204     0.565     0.084  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   113.548   100.137     2.465    -0.301     0.714     0.479  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   124.214    98.819     0.697    -1.010    -0.218     0.236  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   129.058   103.264     1.567    -0.104    -0.733     0.578  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   124.213    95.866     1.580    -0.195     0.131     0.463  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    75.430    96.074     0.925     0.437     0.243     0.191  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   103.448   101.911     0.909     0.358     0.625     0.200  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   127.236   103.291     0.907    -0.340     0.700    -0.183  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   117.671    92.951     1.984    -0.352    -0.812     0.092  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   133.188   101.947     0.305     0.024     1.203    -0.037  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    99.440    95.190     2.724     0.592    -0.709     0.170  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    58.366    98.374     2.264     0.128    -0.568    -0.194  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    73.414    98.298     1.485     0.385     0.317    -0.022  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    93.720   100.580     0.187    -1.160    -0.242     0.054  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   125.145    99.945     0.585     0.581     0.927     0.825  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    92.817    97.733     2.114     0.142    -0.209     0.406  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   107.787    92.117     2.226    -0.173    -0.338     0.184  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    98.540   101.078     0.568     0.915     0.229    -0.337  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   104.803    98.091     2.148    -0.394     1.207    -0.030  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   108.444   100.300     1.890    -0.948     0.505    -0.080  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    69.507    98.951     0.620    -0.734     0.157    -0.064  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    64.304   101.102     0.714     0.346    -0.475     0.599  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    72.772   102.316     0.229     0.294     0.574    -0.365  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    65.795    98.008     0.672    -0.547     0.218    -0.294  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   110.489   100.385     0.428    -0.324    -1.286     0.878  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   110.374    97.598     1.594     0.108    -0.388    -0.434  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    38.108   104.484     1.015    -0.483    -0.394     0.355  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   100.149    96.753     0.994    -0.080    -0.326     0.788  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   106.340   102.192     0.492    -0.171     0.741     0.056  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    42.519    99.210     0.317     0.478    -0.251     0.648  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   113.198    97.637     1.891    -0.537    -0.079     0.026  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   132.230   102.801     4.471     0.375     0.033     0.586  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   105.989    99.211     1.339     0.402     0.110    -0.189  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    91.867    99.030     2.655     0.035     0.407     0.465  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    53.084    94.913     2.645    -1.090    -0.094     0.079  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   108.690    98.278     1.220     0.432     0.191    -0.199  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   108.209    99.421     1.256     0.470     1.113    -0.193  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   131.467   103.850     0.774    -0.968     0.312    -0.067  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   129.070   100.841     1.371     0.069     0.104     0.280  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
   120.462    98.650     2.142     0.598     0.755    -0.013  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    78.473    99.364     2.027     0.701    -0.264    -0.011  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
    36.250   100.884     0.328    -0.311     0.261    -0.003  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        2.
